"satellite_group","unique_satellite_count"
"STARLINK","8703"
"ONEWEB","651"
"KUIPER","153"
"QIANFAN","126"
"HULIANWANG","95"
"IRIDIUM","80"
"FLOCK","61"
"SKYSAT","15"
"PELICAN","4"
"TANAGER","1"
