satellite_group,sat_count,outlier_count,outlier_index
STARLINK,8844,TBD,TBD
ONEWEB,651,2,[50:0.1][618:0.1]
KUIPER,153,TBD,TBD
QIANFAN,108,TBD,TBD
HULIANWANG,104,TBD,TBD
IRIDIUM,80,TBD,TBD
FLOCK,61,TBD,TBD
SKYSAT,15,TBD,TBD
PELICAN,4,TBD,TBD
TANAGER,1,TBD,TBD
