Index,group_name,object_count,outlier_count,percentage_of_outliers
1,Kuiper,153,36,23.53%
2,Iridium-next,80,7,8.75%
3,Qianfan,108,36,33.33%
4,Planet,79,6,7.59%
5,Hulianwang,104,9,8.65%
6,Starlink,8990,960,10.68%
7,Oneweb,651,2,0.31%
