Constellation,Total_Objects,Altitude_Mean,Altitude_Median,Altitude_Std,Altitude_Q1,Altitude_Q3,Altitude_IQR
oneweb,651,1198.24 ,1201.77 ,37.75 ,1189.74 ,1213.72 ,23.98 
hulianwang,104,1115.23 ,1149.31 ,105.45 ,1149.29 ,1167.91 ,18.62 
qianfan,108,1004.94 ,1068.66 ,95.17 ,911.84 ,1068.67 ,156.82 
iridium,80,763.83 ,777.66 ,38.54 ,777.66 ,777.67 ,0.01 
kuiper,153,574.82 ,628.55 ,72.43 ,522.04 ,629.46 ,107.41 
starlink,9041,498.88 ,483.12 ,62.52 ,475.25 ,549.46 ,74.21 
planet,79,451.63 ,454.93 ,26.91 ,435.73 ,463.65 ,27.92 
